,Timestamp,How stressed are you because of work?,What is your h-index?,SubjectiveHappinessIndex,At what age did you got tenure? (type 0 if not yet),"Following are 4 questions about subjective happiness... 1.  In general, I consider myself...","2.  Compared with most of my peers, I consider myself:","3.  Some people are generally very happy.  They enjoy life regardless of what is going on, getting the most out of everything.  To what extent does this characterization describe you?","4.  Some people are generally not very happy.  Although they are not depressed, they never seem as happy as they might be.  To what extent does this characterization describe you?","Do you use any reference management tool? ( Mendeley, Zotero, Citationsy, ... )",Would you like to help in a next survey   ?,Your role is...,"Any other comments, suggestions, or questions you'd add...",ref,an email for follow-up in a few months,"Before we start the survey, we need your consent.",Would you like to help in a next survey  (in a few months time) ?,email,Title Length ceil10,subject_1,subject_2,subject_3,subject_4
1,7/9/20 16:24,5,2,5.75,0,6,6,5,2,2,"No, I am busy",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
2,7/9/20 16:25,6,3,3.5,0,5,5,1,5,2,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
3,7/9/20 16:25,5,6,2.75,35,5,5,,7,2,"No, I am busy",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
4,7/9/20 16:26,1,5,4.75,0,6,5,5,5,4,"Yes,  in a few months",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
5,7/9/20 16:26,2,4,6.25,0,6,6,6,1,1,"No, I am busy",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
6,7/9/20 16:26,2,13,4.5,36,6,6,,2,1,"No, I am busy",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
7,7/9/20 16:26,3,0,5.75,0,6,6,5,2,1,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
8,7/9/20 16:27,6,6,5,0,4,5,5,2,2,"No, I am busy",post doc,NA,[ref,NA,NA,NA,NA,10,NA,,,
9,7/9/20 16:28,5,2,2.5,0,4,2,1,5,4,"No, I am busy",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
10,7/9/20 16:28,7,5,6.25,31,6,7,6,2,5,"Yes,  in a few months",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
11,7/9/20 16:29,4,4,6,0,6,6,6,2,5,"Yes,  in a few months",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
12,7/9/20 16:29,5,9,6,31,6,6,6,2,1,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
13,7/9/20 16:31,3,2,4.25,0,4,2,5,2,2,"No, I am busy",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
14,7/9/20 16:31,6,2,5.75,0,6,5,5,1,5,"No, I am busy",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
15,7/9/20 16:32,6,0,2.5,24,2,6,1,7,1,"Yes,  in a few months",employee,NA,[ref],NA,NA,NA,NA,10,NA,,,
16,7/9/20 16:33,1,7,5.5,23,7,7,4,4,1,Why not?,post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
17,7/9/20 16:33,3,6,7,0,7,7,7,1,1,"Yes,  in a few months",faculty,"I use Mendeley for organising my bibliography, but not to build reference lists for my article writing.",[ref],NA,NA,NA,NA,10,NA,,,
18,7/9/20 16:33,4,NA,3.5,0,4,4,2,4,1,"No, I am busy","student, employee",NA,[ref],NA,NA,NA,NA,10,NA,,,
19,7/9/20 16:34,3,0,3.75,0,4,4,3,4,1,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
20,7/9/20 16:34,3,71,5,35,6,6,4,4,2,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
21,7/9/20 16:34,2,2,3.75,0,4,4,3,4,2,"Yes,  in a few months",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
22,7/9/20 16:35,6,3,2.25,23,3,2,2,6,4,"Yes,  in a few months",post doc,NA,[ref,NA,NA,NA,NA,10,NA,,,
23,7/9/20 16:36,3,6,6,0,6,6,6,2,1,"No, I am busy",employee,NA,[ref,NA,NA,NA,NA,10,NA,,,
24,7/9/20 16:37,6,7,3.5,0,5,5,2,6,1,"Yes,  in a few months",student,"My happiness level seems going along with the achievement of anything, so the happiness (which is usually for a short amount of time) usually comes after the long time of having stresses to achieve that thing. :0",[ref],NA,NA,NA,NA,10,NA,,,
25,7/9/20 16:37,3,60,6.75,38,7,7,6,1,5,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
26,7/9/20 16:38,2,8,5.5,30,7,7,4,4,1,"Yes,  in a few months",faculty,NA,,NA,NA,NA,NA,10,NA,,,
27,7/9/20 16:39,6,3,5.5,0,5,5,5,1,5,"Yes,  in a few months",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
28,7/9/20 16:39,5,NA,4.5,0,5,5,5,5,3,"No, I am busy",employee,NA,[ref],NA,NA,NA,NA,10,NA,,,
29,7/9/20 16:41,6,NA,3,0,3,3,2,4,1,"No, I am busy",post doc,NA,[ref,NA,NA,NA,NA,10,NA,,,
30,7/9/20 16:41,3,14,5.25,34,5,6,3,1,1,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
31,7/9/20 16:43,5,6,3.25,0,2,5,4,6,1,"No, I am busy",employee,NA,[ref],NA,NA,NA,NA,10,NA,,,
32,7/9/20 16:43,3,23,5.75,36,6,6,4,1,2,"No, I am busy",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
33,7/9/20 16:43,7,3,5,0,6,5,5,4,2,"No, I am busy",student,"Your email totally looks like spam, almost deleted it",[ref],NA,NA,NA,NA,10,NA,,,
34,7/9/20 16:43,3,0,5,0,6,5,3,2,1,"No, I am busy",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
35,7/9/20 16:44,7,9,5.75,31,5,5,7,2,1,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
36,7/9/20 16:46,5,31,4.5,38,6,5,5,6,3,"Yes,  in a few months",employee,NA,[ref],NA,NA,NA,NA,10,NA,,,
37,7/9/20 16:46,5,1,3.5,23,5,3,2,4,2,"Yes,  in a few months","student, faculty",NA,[ref],NA,NA,NA,NA,10,NA,,,
38,7/9/20 16:47,6,12,5,30,5,5,5,3,5,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
39,7/9/20 16:47,3,0,4.5,0,6,4,5,5,3,"No, I am busy",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
40,7/9/20 16:48,6,2,5.75,0,6,5,5,1,1,"No, I am busy",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
41,7/9/20 16:49,6,2,4.75,0,5,4,5,3,4,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
42,7/9/20 16:49,5,10,4,0,4,4,4,4,4,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
43,7/9/20 16:52,6,NA,3.5,0,4,5,2,5,5,"No, I am busy",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
44,7/9/20 16:52,5,NA,4,0,4,4,4,4,5,"No, I am busy",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
45,7/9/20 16:52,5,6,4.5,0,5,4,4,3,4,"Yes,  in a few months",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
46,7/9/20 16:54,6,0,3,0,4,3,3,6,1,NA,"faculty, post doc",I expect people like me type 0 at the h-index as they do not bother and do not know it. Don't know (or don't bother) shall be an option there.,[ref],NA,NA,NA,NA,10,NA,,,
